id,name,name_dhivehi,category,price_mvr,description,description_dhivehi,veg,spice_level_0_3,heat_choice,best_seller,allow_comments,no_kitchen,hidden_from_qr,sold_out,add_ons,photo_url
m24,Kulhi Boakibaa,,Baked Savory,15,Traditional Maldivian savoury tea-time snack with rich local flavours.,,no,0,no,no,yes,no,no,no,3 pcs | 5 pcs | 10 pcs | Chili Sauce +5,/api/img/m24
m25,Masroshi,,Baked Savory,12,Traditional Maldivian savoury tea-time snack with rich local flavours.,,no,0,no,no,yes,no,no,no,3 pcs | 5 pcs | 10 pcs | Chili Sauce +5,/api/img/m25
m6,Caramel Frappe,,Blended Frappes,65,Creamy blended coffee frappe with caramel.,,no,0,no,no,yes,no,no,no,Extra Shot +15 | Oat Milk +15 | Vanilla +10 | Caramel +10,/api/img/m6
m35,Beef Burger,,Burgers & Sandwiches,130,Grilled beef burger with fresh salad and house sauce.,,no,0,no,no,yes,no,no,no,Cheese +15 | Fried Egg +15 | Extra Patty +45 | Fries +30,/api/img/m35
m34,Club Sandwich,,Sandwiches & Panini,110,"Triple-layer chicken, egg and fresh salad sandwich served café style.",,no,0,no,no,yes,no,no,no,Cheese +15 | Fried Egg +15 | Extra Chicken +30 | Fries +30 | Coleslaw +20,https://www.gastronomiac.com/wp/wp-content/uploads/2018/03/Sandwich-sous-marin.jpg
m19,English Breakfast,,Continental Breakfast,120,"Eggs, sausage, toast and classic breakfast sides.",,no,0,no,no,yes,no,no,no,Extra Egg +15 | Sausage +20 | Toast +10 | Hash Brown +20,/api/img/m19
m20,Pancakes,,Continental Breakfast,75,Soft breakfast pancakes served warm.,,no,0,no,no,yes,no,no,no,Honey +10 | Maple Syrup +15 | Vanilla Ice Cream +25 | Banana +10,/api/img/m20
m_641chnv,Garudhiya,,Curries,80,"Traditional Maldivian clear tuna broth served with steamed rice, lime, and chili.",,no,0,no,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Curry +25 | Extra Chili +0,/api/img/m_641chnv
m33,Kukulhu Riha,,Curries,95,Traditional Maldivian chicken curry made with roasted spices.,,no,0,no,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Curry +25 | Extra Chili +0,https://lonumedhu.com/sites/default/files/KukulhuRIha2.jpg
m32,Mas Riha,,Curries,90,Traditional Maldivian mas riha cooked with aromatic spices and local flavours.,,no,0,no,no,yes,no,no,no,Steamed Rice +20 | Roshi (2 pcs) +20 | Extra Curry +25 | Extra Chili +0,/api/img/m32
m2,Americano,,Espresso Coffee,35,"Espresso lengthened with hot water for a clean, bold cup.",,no,0,no,yes,yes,no,no,no,Extra Shot +15 | Small +0 | Large +15 | Iced +5 | Sugar +0 | Milk +10 | Decaf +10,/api/img/m2
m1,Espresso,,Espresso Coffee,30,Single espresso with a rich crema.,,no,0,no,no,yes,no,no,no,Double Shot +15 | Extra Shot +15 | Hot Water +0 | Sugar +0 | Decaf +10,/api/img/m1
m10,Orange Juice,,Fresh Juices,55,Fresh orange juice blended to order.,,no,0,no,no,yes,no,no,no,Large +15 | No Sugar +0 | Less Sugar +0 | No Ice +0 | Extra Ice +0,https://img.ananinja.com/media/ninja-catalog-42/restaurants/z85odwy7bdyxdilyoeldhuldulox/MANGO_result.jpg
m11,Papaya Juice,,Fresh Juices,55,Fresh papaya juice blended to order.,,no,0,no,no,yes,no,no,no,Large +15 | No Sugar +0 | Less Sugar +0 | No Ice +0 | Milk +10,https://img.ananinja.com/media/ninja-catalog-42/restaurants/z85odwy7bdyxdilyoeldhuldulox/MANGO_result.jpg
m9,Watermelon Juice,,Fresh Juices,55,Fresh watermelon juice blended to order.,,no,0,no,no,yes,no,no,no,Large +15 | No Sugar +0 | Less Sugar +0 | No Ice +0 | Extra Ice +0,https://img.ananinja.com/media/ninja-catalog-42/restaurants/z85odwy7bdyxdilyoeldhuldulox/MANGO_result.jpg
m21,Bajiya,,Fried Savory,8,"Popular Maldivian hedhikaa, crisp outside and savoury inside.",,no,0,no,no,yes,no,no,no,3 pcs | 5 pcs | 10 pcs | Chili Sauce +5,/api/img/m21
m22,Gulha,,Fried Savory,8,"Popular Maldivian hedhikaa, crisp outside and savoury inside.",,no,0,no,no,yes,no,no,no,3 pcs | 5 pcs | 10 pcs | Chili Sauce +5,/api/img/m22
